text,label
"The Senate approved a new economic relief bill on Tuesday aimed at supporting small businesses affected by inflation.",1
"The World Health Organization announced that several countries have reported a decline in malaria cases after implementing new vaccination programs.",1
"NASA successfully tested its new spacecraft engine designed for deep space missions, according to an official press release.",1
"The Indian government launched a nationwide clean energy initiative to promote the use of solar power in rural areas.",1

"Scientists claim that drinking two liters of soda every day can completely cure diabetes within a week.",0
"A WhatsApp message claims that applying onion juice on the forehead can instantly cure COVID-19.",0
"A viral post says the government will replace all currency with edible plastic tokens starting next month.",0
"Apple announced that its next iPhone will be able to read minds using a hidden quantum sensor.",0
"A leaked report says aliens landed in Australia and asked humans to prepare for an intergalactic election next year.",0
"My friend ate twenty biryanis and then flew to the moon according to a social media post.",0
"Eating two bananas before sleep unlocks the ability to see the future.",0
“A viral video alleges that the moon is actually a hologram projected by ancient aliens.”,0


"The Indian government approved a new policy to boost semiconductor manufacturing.",1
"Scientists at MIT have developed a robot that can autonomously repair small cracks in road surfaces.",1
"The Ministry of Health reported that new vaccination drives in rural districts have led to a significant drop in dengue cases compared to previous years.",1
"A report by the Reserve Bank states that inflation is expected to ease slightly over the next quarter.",1
"According to the United Nations, global literacy rates have improved steadily over the last decade.",1
